start station id,start station name,start station latitude,start station longitude,covid_cases,trip count,tripduration_sum(mins),tripduration_mean(mins),usertype_member_count
1,18 Dorrance Warehouse,42.387151,-71.075978,44975,1007,15193.4343,8871.1242,1007
3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,215777.5,35903,679777.0997,27223.7765,26867
4,Tremont St at E Berkeley St,42.345392,-71.069616,215860.5,48000,813986.0843,23715.3542,34066
5,Northeastern University - North Parking Lot,42.341814,-71.090179,75084,50730,895130.8822,15630.7061,37925
6,Cambridge St at Joy St,42.36125722,-71.06528744,216357.5,81167,1375994.751,24903.5999,64397
7,Fan Pier,42.35339051,-71.0445714,194822.5,23838,546182.3826,30217.9176,13745
8,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,216281.5,42220,818694.1857,27527.094,30079
9,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,215928.5,101325,1514055.784,22781.4778,77328
10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,215342.5,64390,1015218.933,23754.4737,50285
11,Longwood Ave at Binney St,42.338629,-71.1065,216587.5,81897,1311829.15,23960.3702,70538
12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,216211.5,82049,1284524.534,23047.4562,61502
13,Boston Medical Center - E Concord St at Harrison Ave,42.33639915,-71.07306711,83286,38128,559984.0994,14041.5789,32930
14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,215622.5,53486,868982.55,24144.2877,46702
15,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,214784.5,25741,629821.8341,33957.1154,18591
16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,216125.5,67752,1120790.7,24981.8459,53895
17,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,215629.5,45669,844809.234,26309.4721,35033
19,Park Dr at Buswell St,42.347241,-71.105301,216299.5,47003,778429.7505,24184.4,35533
20,Aquarium T Stop - 200 Atlantic Ave,42.35991176,-71.05142981,205312.5,61311,1423404.716,29726.9899,34334
21,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,216473.5,58095,1069592.899,25839.6641,42197
22,South Station - 700 Atlantic Ave,42.352175,-71.055547,215853.5,99090,1546724.533,24692.761,74627
23,Boston City Hall - 28 State St,42.35892,-71.057629,216194.5,68064,1317260.15,28157.3662,47743
24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085,213421.5,54605,1022470.249,26479.1028,34826
25,South End Library - Tremont St at W Newton St,42.341332,-71.076847,215953.5,37904,526504.7496,19988.6489,31616
26,Washington St at Waltham St,42.34157472,-71.0689044,216406.5,40622,555920.3991,19959.3935,33004
27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,175806.5,54917,803495.3158,20522.749,41562
29,Innovation Lab - 125 Western Ave at Batten Way,42.36371276,-71.12459779,203680,24985,411103.5999,25098.1079,20197
30,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,216180.5,39311,685930.6337,25338.1231,31163
31,Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744,212022.5,26452,490531.3503,25562.0958,17403
32,Landmark Center - Brookline Ave at Park Dr,42.34369056,-71.10235287,204070,72893,1342750.852,17213.0079,50879
33,Kenmore Square,42.348706,-71.097009,209632.5,66058,1256728.533,26315.2094,43469
35,Arch St at Franklin St,42.35533502,-71.05822917,87753,41028,739380.8664,17355.9975,29857
36,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,206476.5,69660,1473603.367,29286.9831,45646
37,New Balance - 20 Guest St,42.35732922,-71.1467354,202313.5,12027,292811.3312,33665.8273,8198
39,Washington St at Rutland St,42.3385146,-71.07404083,216587.5,75935,1082628.567,21162.4514,64332
40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,216426.5,73930,1565399.984,28389.4864,45050
41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,216459.5,86827,1461929.851,24240.4789,66444
42,Boylston St at Arlington St,42.35204262,-71.0705781,163482.5,56819,1359680.85,27298.7108,33140
43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,214209.5,37896,692008.3347,25605.313,25021
44,Congress St at Boston City Hall,42.36041775,-71.05752244,210227.5,30860,769920.8002,27763.3613,16022
46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,216587.5,126604,2347583.967,26785.8972,90724
47,Cross St at Hanover St,42.362811,-71.056067,216367.5,86285,1832078.767,24381.2812,48409
48,Post Office Square,42.35585436,-71.05459746,79333,20169,340090.1178,16873.0536,14555
49,Stuart St at Charles St,42.351146,-71.066289,213720.5,35100,782659.4153,30443.6377,20583
50,Boylston St at Berkeley St,42.35114198,-71.07329249,77238,28127,531378.134,16665.2249,18868
51,Washington St at Lenox St,42.33509899,-71.07903779,208915.5,23736,392014.8168,23589.6208,19292
52,Newbury St at Hereford St,42.348717,-71.085954,79035,90668,1717496.068,16597.2889,60990
53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,76929,105591,1753462.75,14847.4577,77040
54,Tremont St at West St,42.354979,-71.063348,215297.5,53352,1312412.967,34311.3515,31774
55,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,214797,89441,1599603.268,22022.7193,62865
56,Dudley Square - Bolling Building,42.32984299,-71.08386572,197080,11711,223398.1821,26692.9179,9317
57,Massachusetts Ave at Columbus Ave,42.33949454,-71.08020781,86734.5,38089,586917.5841,16713.7708,29771
58,Mugar Way at Beacon St,42.35553628,-71.0728687,216540.5,80582,2262148.415,35552.6257,43893
59,Chinatown Gate Plaza,42.351356,-71.059367,215386.5,41940,811323.3837,26767.5111,29031
60,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,216517.5,138450,2841104.518,26349.1978,100758
61,Boylston St at Fairfield St,42.348762,-71.082383,72080,61009,1170716.951,15721.0907,41217
63,Dorchester Ave at Gillette Park,42.34404051,-71.05737627,209553.5,17907,294129.6008,21659.0711,12799
64,Congress St at Sleeper St,42.3510045,-71.04930013,76043,28985,520705.3662,16011.0005,18001
65,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.34776345,-71.04535997,197362.5,16766,375426.5,28184.9711,7585
66,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,216372.5,42919,783916.1509,26352.7438,33412
67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,216422.5,249211,3262005.948,19838.5627,211165
68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,216395.5,208120,2605998.267,18156.1501,179010
69,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,215815.5,60735,1018154.584,24030.9556,48240
70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168,-71.12188071,214547.5,58938,1192307.85,27604.7257,42315
71,Conway Park - Somerville Avenue,42.38363895,-71.10853672,212000.5,35540,563837.6997,23487.0492,28307
72,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,216170.5,47330,663348.2853,20637.9779,39979
73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,214406.5,63380,1283105.433,27043.1915,43157
74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,216268.5,157441,2986327.998,26599.0911,109570
75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,215717.5,81136,1048896.267,18683.6377,68098
76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,216587.5,95044,1363955.732,21083.8377,79499
77,Somerville City Hall,42.386844,-71.09812,214882.5,19370,353626.4516,27129.7196,15353
78,Union Square - Somerville,42.37971603,-71.09391332,215929.5,46500,810921.1175,25386.6598,35199
79,Beacon St at Washington / Kirkland,42.37842,-71.105668,95780,32626,508094.0325,15720.5955,26229
80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,214969.5,126734,1342261.967,15915.8409,118751
81,Chinatown T Stop,42.352409,-71.062679,216263.5,75674,1485977.233,27941.0498,53306
82,Beacon St at Tappan St,42.3382668,-71.13894682,214664.5,19993,389952.6833,27107.9138,14947
84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,213023.5,50701,942067.6005,26056.6994,36087
85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,215994.5,28162,553807.3996,28801.8599,23949
86,Brookline Village - Station Street at MBTA,42.33274392,-71.11626681,216334.5,32629,670459.8344,29252.8259,24001
87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,216330.5,51913,835542.7846,23447.7825,43442
88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,0,494,5709.6666,198.766,474
89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,216459.5,44563,745569.949,25030.2913,35125
90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,171646.5,49344,811672.6503,19284.2786,39361
91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,216355.5,83509,1098130.951,19554.2672,70147
92,University of Massachusetts Boston - Campus Center,42.31218918,-71.03648586,117260.5,7391,233379.9663,33124.6587,3682
93,JFK/UMass T Stop,42.32033974,-71.05118036,189208.5,13006,330827.5986,31497.7731,8144
94,Main St at Austin St,42.375603,-71.064608,213505.5,25338,478707.2318,25955.186,17971
95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,216546.5,47575,711812.7497,22222.4932,38511
96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,216394.5,52307,822087.4348,23230.942,43127
97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36920617,-71.11710638,216338.5,83311,1752497.752,29899.3434,57382
98,Warren St at Chelsea St,42.371848,-71.060292,216081.5,56842,1143554.8,27746.9671,37516
99,Wilson Square,42.38567579,-71.11412136,213357.5,19098,309065.6162,22573.7688,15373
100,Davis Square,42.396969,-71.123024,215878.5,54258,967892.7151,25605.8826,40066
101,Ball Sq,42.3991826,-71.11104455,141886.5,9223,171464.2161,19044.1376,6834
102,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,214027.5,16064,363234.8353,32126.2059,11416
103,JFK Crossing at Harvard St. / Thorndike St.,42.34655124,-71.12833211,205657,17876,322327.0004,22011.4657,14031
104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,216530.5,45481,614891.8664,21143.4992,36543
105,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,216540.5,84355,1371044.184,22870.2685,69571
106,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,37987.5,3537,73631.4338,12060.0567,2555
107,Ames St at Main St,42.3625,-71.08822,216587.5,134360,1685685.084,18661.3917,121886
108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,215917.5,46408,683281.6984,21758.8875,39681
109,West End Park,42.36590788,-71.06446669,165017,16224,321541.6669,28597.2964,12796
110,Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025,216228.5,46554,730411.3325,23000.5784,36960
111,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,206189.5,14939,319384.1678,30621.6781,9931
112,Clarendon Hill at Broadway,42.406302,-71.132446,94120,6807,172487.7827,21815.6629,4532
113,Andrew T Stop - Dorchester Ave at Dexter St,42.33047365,-71.05701685,66663,14397,284563.4656,16384.7321,9316
114,Teele Square,42.40231703,-71.12671129,97719,8804,149420.3162,16206.9817,6593
115,Porter Square Station,42.387995,-71.119084,216252.5,55403,831368.8845,22423.1544,45137
116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,216511.5,60490,823375.7161,20463.7843,53505
117,Binney St / Sixth St,42.36608797,-71.08633604,215649.5,30846,405067.9344,19957.4001,27045
118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,215430.5,29807,522351.8168,25189.9274,23235
119,South Boston Library - 646 E Broadway,42.335741,-71.03877,213023.5,39153,831620.2183,29021.6073,19404
120,Beacon St at Charles St,42.356052,-71.069849,74335,53811,1416755.667,21381.8554,28076
121,W Broadway at Dorchester St,42.33595898,-71.046229,214806.5,38241,681220.8665,24722.8846,22119
122,Burlington Ave at Brookline Ave,42.345733,-71.100694,75209,25535,509500.7508,16874.8555,17236
124,Curtis Hall - South St at Centre St,42.309054,-71.11543,202309.5,11509,299697.9522,33297.4977,7937
125,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,215200.5,25711,486597.1997,27020.2623,20095
126,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,179048,5655,128144.2984,27220.4804,4262
128,E Cottage St at Columbia Rd,42.320561,-71.06198,63355,8829,192180.866,17236.3779,6223
129,Hayes Square - Vine St at Moulton St,42.377022,-71.056605,74464,8295,178889.167,17944.3629,6028
130,Uphams Corner,42.31727474,-71.06537004,67313,4413,107775.5675,19359.993,2959
131,Jackson Square T Stop,42.32293117,-71.10014141,216459.5,28765,513045.5168,25381.9989,22692
133,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,205865.5,19397,401817.298,29168.9164,14861
134,Boylston St at Dartmouth St,42.350413,-71.07655,11369.5,5602,112413.9009,6621.6072,3986
135,ID Building East,42.344827,-71.028664,184037.5,10231,166128.8992,22523.8916,8608
136,ID Building West,42.344796,-71.031614,201574.5,17018,282631.7837,24827.6212,13428
137,Magoun Square at Trum Field,42.3977834,-71.10594004,205940.5,14689,263436.6823,25150.0069,10724
138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,211056.5,15265,334526.9813,31812.9673,10856
139,Dana Park,42.36178044,-71.10809952,216263.5,53771,797770.9172,21582.9744,46130
140,Danehy Park,42.388966,-71.132788,210729.5,13573,279905.8158,27649.7489,10339
141,Kendall Street,42.36356016,-71.08216792,212272.5,34659,521231.0321,21671.4402,29252
142,Alewife Station at Russell Field,42.396105,-71.139459,209895.5,15620,435067.3815,34574.048,11003
143,EF - North Point Park,42.369885,-71.069957,214198.5,44186,874739.4511,28158.6287,31842
144,Rogers St & Land Blvd,42.36575798,-71.07699394,180622.5,22266,402298.9153,25231.4844,16367
145,Rindge Avenue - O'Neill Library,42.392766,-71.129042,207502.5,11751,240819.9831,29035.833,9236
146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,171194.5,26672,951345.3169,39721.1399,10004
149,175 N Harvard St,42.363796,-71.129164,216038.5,56587,996832.8988,25184.943,42437
150,State Street at Channel Center,42.344137,-71.052608,211719.5,26989,363903.5667,19768.0071,19932
151,Surface Rd at India St,42.358155,-71.052163,212977.5,38440,756446.8006,27044.3901,24739
152,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,214984.5,26173,368126.0346,19715.5104,20236
156,Somerville Hospital,42.39044949,-71.1085595,120417.5,10842,190793.8498,19124.8641,8060
157,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,216238.5,75066,1273035.518,23649.409,48783
159,S Huntington Ave at Heath St,42.32760387,-71.1108917,202143.5,15304,291986.0512,26441.7112,11510
160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,207701.5,27829,558038.1983,27351.4271,17871
161,W Broadway at D St,42.3391085,-71.0514432,215201.5,53574,881280.1017,23423.8845,34102
162,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,148862,3966,123760.9826,30799.1944,2259
163,The Lawn on D,42.344792,-71.044024,204371.5,28652,608258.1169,26954.628,14485
167,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,61772,8592,207255.4327,18280.4669,5344
169,Edwards Playground - Main St at Eden St,42.378965,-71.068607,207665.5,13813,260732.5344,26214.4134,10446
170,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,128866.5,4591,172797.3983,33511.6457,2036
171,Bunker Hill Community College,42.37408991,-71.06905997,199874,14329,221978.1659,22544.3361,11469
173,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,164080.5,5684,182072.4993,36746.621,3364
174,Washington St at Brock St,42.34895285,-71.16031677,170736.5,9050,270190.2176,37839.3163,5085
175,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,214469.5,21620,455962.6994,29819.4629,15540
176,Lesley University,42.38674802,-71.11901879,215979.5,27677,474159.5153,24891.7037,22327
177,University Park,42.36264779,-71.10006094,216431.5,73577,955584.0671,18904.0354,62769
178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,216587.5,136492,1360692.45,14751.4229,130208
179,MIT Vassar St,42.35560121,-71.10394478,216587.5,118806,1479957.165,18543.1864,107257
180,Mt Auburn,42.37478629,-71.13320231,212305.5,18578,397389.433,28702.0023,13901
181,Huron Ave At Vassal Lane,42.38165061,-71.13426981,207152.5,13846,255760.4513,26834.5785,11033
182,Museum of Science,42.36769018,-71.07116282,209272.5,20209,503032.6839,32391.1433,11418
183,Alewife MBTA at Steel Place,42.39558846,-71.14260614,209402.5,20957,591354.3512,38153.6799,15128
184,Sidney Research Campus/Erie Street at Waverly,42.35775309,-71.10393405,216383.5,43322,569329.2499,20018.5698,38697
185,Third at Binney,42.36544486,-71.08277142,216135.5,53995,745898.3339,20251.686,46457
186,Congress St at Northern Ave,42.3481,-71.03764,166684,31013,592463.3821,18939.7699,17696
187,Cypress St at Clark Playground,42.32784317,-71.12536222,165268,7700,149388.3011,21468.1738,5694
188,Foss Park,42.39108438,-71.09039426,209242.5,12080,272575.6477,31429.2621,8487
189,Kendall T,42.36242784,-71.08495474,215805.5,99165,1236187.95,18820.5122,86329
190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,216496.5,95810,1751601.1,27935.3872,74962
191,Tappan St at Brookline Hills MBTA,42.3329529,-71.12824756,200229.5,7353,143373.8496,26643.0163,5539
192,Purchase St at Pearl St,42.354659,-71.053181,214913.5,32316,529006.8669,24795.5336,23848
193,Brookline Town Hall,42.33376473,-71.12046447,211023.5,14616,289481.7835,28050.2834,11069
194,Broadway St at Mt Pleasant St,42.38614141,-71.0782814,202254.5,12620,214730.5342,23057.7299,9467
195,Child St at North St,42.37228487,-71.07383825,216426.5,36463,650692.5155,25631.5308,27669
196,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,179764,5513,120919.1324,27987.748,4104
197,MLK Blvd at Washington St,42.32143814,-71.09126061,195204,7529,141320.1489,25501.0539,6075
199,Uphams Corner T Stop - Magnolia St at Dudley St,42.31869734,-71.06978148,53108,3028,74711.2662,17457.9962,2041
200,Washington St at Melnea Cass Blvd,42.332817,-71.081198,213502.5,14805,252121.6332,24530.0762,11223
201,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,199481.5,4141,95741.7847,27646.1056,3038
202,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,127498,2932,88298.0009,30243.3014,1727
203,Columbia Rd at Ceylon St,42.309572,-71.0729,88532,2171,62049.6166,24431.4017,1406
204,Walnut Ave at Warren St,42.324081,-71.083235,57582,3524,69954.5658,14495.1691,2599
205,Bowdoin St at Quincy St,42.30785224,-71.06512249,197558.5,5173,137369.6339,34912.867,3907
206,Government Center - Cambridge St at Court St,42.3598254,-71.05979576,215412,45109,838527.6655,26922.567,33099
208,Oak Square - 615 Washington St,42.35057,-71.166491,207054.5,9568,281543.3001,39284.3532,6013
209,Chelsea St at Saratoga St,42.379772,-71.027448,38200,1587,49006.7496,12910.8512,797
210,Bennington St at Byron St,42.38353252,-71.01619095,106263.5,2982,92226.918,27698.9879,1635
211,Piers Park,42.3650112,-71.03528559,61798,7138,172142.349,16439.1687,4219
212,Maverick Square - Lewis Mall,42.36884408,-71.03977829,185052.5,13829,351735.2341,29227.0562,8033
213,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,179802.5,8240,128459.683,19165.0766,6262
214,Airport T Stop - Bremen St at Brooks St,42.37532835,-71.03132129,167935.5,13778,481652.8341,36331.3743,5560
215,The Eddy - New St at Sumner St,42.370744,-71.044201,140012.5,5534,152221.2164,24618.2669,3193
216,Glendon St at Condor St,42.38240378,-71.03024304,46857,1516,49671.0002,16295.9721,651
217,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,129629,7135,336784.4,44472.9137,2937
218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,213887.5,50912,893851.015,23929.8454,31997
219,Boston East - 126 Border St,42.37331213,-71.04102008,139816,4717,75348.5167,17282.1623,3554
221,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,216227.5,38581,621871.269,23034.2034,30866
222,Troy Boston,42.343749,-71.062256,214517.5,21488,299052.2806,19661.9316,16432
224,Fresh Pond Reservation,42.38267828,-71.14347895,191679.5,10968,316757.734,35935.9284,7452
225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,215931.5,48551,641547.3343,19710.9633,41374
226,Commonwealth Ave At Babcock St,42.35154735,-71.12126246,216513.5,45759,782177.7828,25122.8738,33519
227,Silber Way,42.349496,-71.10057592,78777,51741,904360.7003,16845.838,39364
228,One Memorial Drive,42.36161932,-71.08043551,208258.5,25356,412826.5987,24379.7453,20999
229,8D QC Station 01,42.34503316,-71.09664917,0,1,1.1,1.1,0
232,Four Corners - 157 Washington St,42.30412793,-71.07929528,67213.5,1457,41425.6842,19557.0738,913
233,St Mary's,42.34619708,-71.10728681,201112,39849,719732.8839,21478.2275,29419
234,Broadway at Central St,42.3951715,-71.09850592,209596.5,12292,229743.0153,27412.6029,8854
235,East Somerville Library (Broadway and Illinois),42.38762811,-71.08318716,199037,9866,198460.1989,27436.6062,7414
236,Assembly Square T,42.39223284,-71.07746601,193668,13939,392684.1508,35561.354,9035
239,Community Path at Cedar Street,42.39407224,-71.11133695,215934.5,27656,410176.9009,22554.4488,20878
255,Park St at Norwell St,42.29442579,-71.07821761,41478,781,22273.5495,10933.4064,436
258,Gallivan Blvd at Adams St,42.28297568,-71.05466698,125940.5,3305,153161.8662,37586.5495,1501
259,Washington St at Bowdoin St,42.29916498,-71.07345872,40868,1248,38556.2992,15368.0909,609
260,Fields Corner T Stop,42.29963349,-71.06068976,93277,4127,127321.7336,27005.079,2492
271,Ashmont T Stop,42.2856944,-71.0641389,159554.5,4245,104919.1164,25483.6235,2703
272,Shawmut T Stop,42.292917,-71.06575,177167,2913,85658.5506,32878.1698,2013
273,Forest Hills,42.300923,-71.114249,212117.5,24937,663988.8012,31362.8112,16509
279,Williams St at Washington St,42.306539,-71.107669,206432.5,12183,234859.0333,26682.616,9088
280,Main St at Baldwin St,42.380857,-71.070629,205642.5,14934,239467.0995,22317.0293,11859
282,Stony Brook T Stop,42.316966,-71.104374,215586.5,24320,525435.8335,30532.8495,17768
296,Farragut Rd at E. 6th St,42.3334,-71.02495,188994.5,22735,748082.0998,37018.0938,9486
308,BCBS Hingham,42.16722556,-70.90555783,818,422,7358.0662,1988.0382,386
317,BCBS Quincy,42.27600499,-71.03924982,8620,272,6316.0161,3641.0276,206
318,Ames St at Broadway,42.3636929,-71.0875672,216587.5,57460,803389.2498,20477.924,48187
319,84 Cambridgepark Dr,42.3936,-71.143941,174494.5,7977,227309.1665,33683.1268,5434
327,Main St at Thompson Sq,42.37487847,-71.06383499,203854.5,18863,368882.2172,26338.6762,12771
