Name_链接,Name,DateModified,Size,Type,字段1_链接
https://s3.amazonaws.com/tripdata/201306-citibike-tripdata.zip,201306-citibike-tripdata.zip,"Apr 30th 2018, 02:18:55 pm",16.79 MB,ZIP file,https://s3.amazonaws.com/tripdata/201306-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201307-201402-citibike-tripdata.zip,201307-201402-citibike-tripdata.zip,"Jan 18th 2017, 10:23:25 pm",178.26 MB,ZIP file,https://s3.amazonaws.com/tripdata/201307-201402-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201307-citibike-tripdata.zip,201307-citibike-tripdata.zip,"Jan 18th 2017, 10:23:27 pm",27.07 MB,ZIP file,https://s3.amazonaws.com/tripdata/201307-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201308-citibike-tripdata.zip,201308-citibike-tripdata.zip,"Jan 18th 2017, 10:23:27 pm",32.09 MB,ZIP file,https://s3.amazonaws.com/tripdata/201308-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201309-citibike-tripdata.zip,201309-citibike-tripdata.zip,"Jan 18th 2017, 10:23:27 pm",33.16 MB,ZIP file,https://s3.amazonaws.com/tripdata/201309-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201310-citibike-tripdata.zip,201310-citibike-tripdata.zip,"Jan 18th 2017, 10:23:28 pm",33.07 MB,ZIP file,https://s3.amazonaws.com/tripdata/201310-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201311-citibike-tripdata.zip,201311-citibike-tripdata.zip,"Jan 18th 2017, 10:23:28 pm",21.62 MB,ZIP file,https://s3.amazonaws.com/tripdata/201311-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201312-citibike-tripdata.zip,201312-citibike-tripdata.zip,"Jan 18th 2017, 10:23:28 pm",14.31 MB,ZIP file,https://s3.amazonaws.com/tripdata/201312-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201401-citibike-tripdata.zip,201401-citibike-tripdata.zip,"Jan 18th 2017, 10:23:29 pm",9.70 MB,ZIP file,https://s3.amazonaws.com/tripdata/201401-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201402-citibike-tripdata.zip,201402-citibike-tripdata.zip,"Jan 18th 2017, 10:23:29 pm",7.25 MB,ZIP file,https://s3.amazonaws.com/tripdata/201402-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201403-citibike-tripdata.zip,201403-citibike-tripdata.zip,"Jan 18th 2017, 10:23:29 pm",14.13 MB,ZIP file,https://s3.amazonaws.com/tripdata/201403-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201404-citibike-tripdata.zip,201404-citibike-tripdata.zip,"Jan 18th 2017, 10:23:29 pm",21.41 MB,ZIP file,https://s3.amazonaws.com/tripdata/201404-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201405-citibike-tripdata.zip,201405-citibike-tripdata.zip,"Jan 18th 2017, 10:23:29 pm",27.59 MB,ZIP file,https://s3.amazonaws.com/tripdata/201405-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201406-citibike-tripdata.zip,201406-citibike-tripdata.zip,"Jan 18th 2017, 10:23:29 pm",29.90 MB,ZIP file,https://s3.amazonaws.com/tripdata/201406-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201407-citibike-tripdata.zip,201407-citibike-tripdata.zip,"Jan 18th 2017, 10:23:30 pm",30.89 MB,ZIP file,https://s3.amazonaws.com/tripdata/201407-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201408-citibike-tripdata.zip,201408-citibike-tripdata.zip,"Jan 18th 2017, 10:23:30 pm",30.63 MB,ZIP file,https://s3.amazonaws.com/tripdata/201408-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201409-citibike-tripdata.zip,201409-citibike-tripdata.zip,"Jan 18th 2017, 10:23:30 pm",30.25 MB,ZIP file,https://s3.amazonaws.com/tripdata/201409-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201410-citibike-tripdata.zip,201410-citibike-tripdata.zip,"Jan 18th 2017, 10:23:30 pm",26.15 MB,ZIP file,https://s3.amazonaws.com/tripdata/201410-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201411-citibike-tripdata.zip,201411-citibike-tripdata.zip,"Jan 18th 2017, 10:23:31 pm",16.83 MB,ZIP file,https://s3.amazonaws.com/tripdata/201411-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201412-citibike-tripdata.zip,201412-citibike-tripdata.zip,"Jan 18th 2017, 10:23:31 pm",12.72 MB,ZIP file,https://s3.amazonaws.com/tripdata/201412-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201501-citibike-tripdata.zip,201501-citibike-tripdata.zip,"Jan 18th 2017, 10:23:31 pm",7.01 MB,ZIP file,https://s3.amazonaws.com/tripdata/201501-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201502-citibike-tripdata.zip,201502-citibike-tripdata.zip,"Jan 18th 2017, 10:23:31 pm",4.82 MB,ZIP file,https://s3.amazonaws.com/tripdata/201502-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201503-citibike-tripdata.zip,201503-citibike-tripdata.zip,"Jan 18th 2017, 10:23:31 pm",8.42 MB,ZIP file,https://s3.amazonaws.com/tripdata/201503-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201504-citibike-tripdata.zip,201504-citibike-tripdata.zip,"Jan 18th 2017, 10:23:31 pm",20.74 MB,ZIP file,https://s3.amazonaws.com/tripdata/201504-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201505-citibike-tripdata.zip,201505-citibike-tripdata.zip,"Jan 18th 2017, 10:23:32 pm",30.34 MB,ZIP file,https://s3.amazonaws.com/tripdata/201505-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201506-citibike-tripdata.zip,201506-citibike-tripdata.zip,"Jan 18th 2017, 10:23:32 pm",22.89 MB,ZIP file,https://s3.amazonaws.com/tripdata/201506-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201507-citibike-tripdata.zip,201507-citibike-tripdata.zip,"Jan 18th 2017, 10:23:32 pm",34.52 MB,ZIP file,https://s3.amazonaws.com/tripdata/201507-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201508-citibike-tripdata.zip,201508-citibike-tripdata.zip,"Jan 18th 2017, 10:23:33 pm",38.04 MB,ZIP file,https://s3.amazonaws.com/tripdata/201508-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201509-citibike-tripdata.zip,201509-citibike-tripdata.zip,"Jan 18th 2017, 10:23:33 pm",43.62 MB,ZIP file,https://s3.amazonaws.com/tripdata/201509-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201510-citibike-tripdata.zip,201510-citibike-tripdata.zip,"Jan 18th 2017, 10:23:34 pm",41.82 MB,ZIP file,https://s3.amazonaws.com/tripdata/201510-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201511-citibike-tripdata.zip,201511-citibike-tripdata.zip,"Jan 18th 2017, 10:23:34 pm",34.35 MB,ZIP file,https://s3.amazonaws.com/tripdata/201511-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201512-citibike-tripdata.zip,201512-citibike-tripdata.zip,"Jan 18th 2017, 10:23:35 pm",23.15 MB,ZIP file,https://s3.amazonaws.com/tripdata/201512-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201601-citibike-tripdata.zip,201601-citibike-tripdata.zip,"Jan 18th 2017, 10:23:35 pm",17.79 MB,ZIP file,https://s3.amazonaws.com/tripdata/201601-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201602-citibike-tripdata.zip,201602-citibike-tripdata.zip,"Jan 18th 2017, 10:23:35 pm",19.67 MB,ZIP file,https://s3.amazonaws.com/tripdata/201602-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201603-citibike-tripdata.zip,201603-citibike-tripdata.zip,"Jan 18th 2017, 10:23:36 pm",26.45 MB,ZIP file,https://s3.amazonaws.com/tripdata/201603-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201604-citibike-tripdata.zip,201604-citibike-tripdata.zip,"Jan 18th 2017, 10:23:36 pm",35.50 MB,ZIP file,https://s3.amazonaws.com/tripdata/201604-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201605-citibike-tripdata.zip,201605-citibike-tripdata.zip,"Jan 18th 2017, 10:23:36 pm",42.46 MB,ZIP file,https://s3.amazonaws.com/tripdata/201605-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201606-citibike-tripdata.zip,201606-citibike-tripdata.zip,"Jan 18th 2017, 10:23:37 pm",51.46 MB,ZIP file,https://s3.amazonaws.com/tripdata/201606-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201607-citibike-tripdata.zip,201607-citibike-tripdata.zip,"Jan 18th 2017, 10:23:38 pm",48.81 MB,ZIP file,https://s3.amazonaws.com/tripdata/201607-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201608-citibike-tripdata.zip,201608-citibike-tripdata.zip,"Jan 18th 2017, 10:23:39 pm",56.05 MB,ZIP file,https://s3.amazonaws.com/tripdata/201608-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201609-citibike-tripdata.zip,201609-citibike-tripdata.zip,"Jan 18th 2017, 10:23:40 pm",60.82 MB,ZIP file,https://s3.amazonaws.com/tripdata/201609-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201610-citibike-tripdata.zip,201610-citibike-tripdata.zip,"Jan 23rd 2017, 02:25:28 pm",52.92 MB,ZIP file,https://s3.amazonaws.com/tripdata/201610-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201611-citibike-tripdata.zip,201611-citibike-tripdata.zip,"Jan 23rd 2017, 02:25:18 pm",40.31 MB,ZIP file,https://s3.amazonaws.com/tripdata/201611-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201612-citibike-tripdata.zip,201612-citibike-tripdata.zip,"Jan 23rd 2017, 02:25:24 pm",27.55 MB,ZIP file,https://s3.amazonaws.com/tripdata/201612-citibike-tripdata.zip
https://s3.amazonaws.com/tripdata/201701-citibike-tripdata.csv.zip,201701-citibike-tripdata.csv.zip,"Apr 6th 2017, 10:01:05 pm",24.25 MB,ZIP file,https://s3.amazonaws.com/tripdata/201701-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201702-citibike-tripdata.csv.zip,201702-citibike-tripdata.csv.zip,"Apr 6th 2017, 10:01:14 pm",26.35 MB,ZIP file,https://s3.amazonaws.com/tripdata/201702-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201703-citibike-tripdata.csv.zip,201703-citibike-tripdata.csv.zip,"Apr 6th 2017, 10:01:25 pm",24.17 MB,ZIP file,https://s3.amazonaws.com/tripdata/201703-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201704-citibike-tripdata.csv.zip,201704-citibike-tripdata.csv.zip,"Aug 1st 2017, 05:16:58 pm",45.08 MB,ZIP file,https://s3.amazonaws.com/tripdata/201704-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201705-citibike-tripdata.csv.zip,201705-citibike-tripdata.csv.zip,"Aug 1st 2017, 05:17:14 pm",52.67 MB,ZIP file,https://s3.amazonaws.com/tripdata/201705-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201706-citibike-tripdata.csv.zip,201706-citibike-tripdata.csv.zip,"Aug 1st 2017, 05:17:25 pm",60.39 MB,ZIP file,https://s3.amazonaws.com/tripdata/201706-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201707-citibike-tripdata.csv.zip,201707-citibike-tripdata.csv.zip,"Aug 1st 2017, 05:17:42 pm",60.55 MB,ZIP file,https://s3.amazonaws.com/tripdata/201707-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201708-citibike-tripdata.csv.zip,201708-citibike-tripdata.csv.zip,"Oct 3rd 2017, 04:52:50 pm",63.28 MB,ZIP file,https://s3.amazonaws.com/tripdata/201708-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201709-citibike-tripdata.csv.zip,201709-citibike-tripdata.csv.zip,"Oct 3rd 2017, 04:52:58 pm",65.88 MB,ZIP file,https://s3.amazonaws.com/tripdata/201709-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201710-citibike-tripdata.csv.zip,201710-citibike-tripdata.csv.zip,"Jan 31st 2018, 09:14:57 pm",67.61 MB,ZIP file,https://s3.amazonaws.com/tripdata/201710-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201711-citibike-tripdata.csv.zip,201711-citibike-tripdata.csv.zip,"Jan 31st 2018, 09:15:07 pm",47.77 MB,ZIP file,https://s3.amazonaws.com/tripdata/201711-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201712-citibike-tripdata.csv.zip,201712-citibike-tripdata.csv.zip,"Jan 31st 2018, 09:15:13 pm",32.10 MB,ZIP file,https://s3.amazonaws.com/tripdata/201712-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201801-citibike-tripdata.csv.zip,201801-citibike-tripdata.csv.zip,"Sep 6th 2018, 07:44:00 pm",23.24 MB,ZIP file,https://s3.amazonaws.com/tripdata/201801-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201802-citibike-tripdata.csv.zip,201802-citibike-tripdata.csv.zip,"Sep 6th 2018, 07:44:02 pm",27.45 MB,ZIP file,https://s3.amazonaws.com/tripdata/201802-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201803-citibike-tripdata.csv.zip,201803-citibike-tripdata.csv.zip,"Sep 6th 2018, 07:44:06 pm",31.77 MB,ZIP file,https://s3.amazonaws.com/tripdata/201803-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201804-citibike-tripdata.csv.zip,201804-citibike-tripdata.csv.zip,"Sep 6th 2018, 07:44:09 pm",42.78 MB,ZIP file,https://s3.amazonaws.com/tripdata/201804-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201805-citibike-tripdata.csv.zip,201805-citibike-tripdata.csv.zip,"Sep 6th 2018, 07:44:14 pm",60.40 MB,ZIP file,https://s3.amazonaws.com/tripdata/201805-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201806-citibike-tripdata.csv.zip,201806-citibike-tripdata.csv.zip,"Sep 6th 2018, 07:44:22 pm",64.68 MB,ZIP file,https://s3.amazonaws.com/tripdata/201806-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201807-citibike-tripdata.csv.zip,201807-citibike-tripdata.csv.zip,"Sep 6th 2018, 07:44:30 pm",63.14 MB,ZIP file,https://s3.amazonaws.com/tripdata/201807-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201808-citibike-tripdata.csv.zip,201808-citibike-tripdata.csv.zip,"Sep 12th 2018, 07:57:00 pm",84.33 MB,ZIP file,https://s3.amazonaws.com/tripdata/201808-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201809-citibike-tripdata.csv.zip,201809-citibike-tripdata.csv.zip,"Oct 3rd 2018, 07:48:03 pm",80.09 MB,ZIP file,https://s3.amazonaws.com/tripdata/201809-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201810-citibike-tripdata.csv.zip,201810-citibike-tripdata.csv.zip,"Nov 7th 2018, 07:43:33 pm",79.98 MB,ZIP file,https://s3.amazonaws.com/tripdata/201810-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201811-citibike-tripdata.csv.zip,201811-citibike-tripdata.csv.zip,"Dec 4th 2018, 04:27:25 pm",53.73 MB,ZIP file,https://s3.amazonaws.com/tripdata/201811-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201812-citibike-tripdata.csv.zip,201812-citibike-tripdata.csv.zip,"Jan 8th 2019, 08:51:08 pm",43.61 MB,ZIP file,https://s3.amazonaws.com/tripdata/201812-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201901-citibike-tripdata.csv.zip,201901-citibike-tripdata.csv.zip,"Feb 11th 2019, 02:43:30 pm",41.47 MB,ZIP file,https://s3.amazonaws.com/tripdata/201901-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201902-citibike-tripdata.csv.zip,201902-citibike-tripdata.csv.zip,"Mar 4th 2019, 04:21:38 pm",40.47 MB,ZIP file,https://s3.amazonaws.com/tripdata/201902-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201903-citibike-tripdata.csv.zip,201903-citibike-tripdata.csv.zip,"Apr 15th 2019, 07:34:41 pm",57.20 MB,ZIP file,https://s3.amazonaws.com/tripdata/201903-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201904-citibike-tripdata.csv.zip,201904-citibike-tripdata.csv.zip,"May 6th 2019, 08:07:32 pm",75.70 MB,ZIP file,https://s3.amazonaws.com/tripdata/201904-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201905-citibike-tripdata.csv.zip,201905-citibike-tripdata.csv.zip,"Jun 11th 2019, 08:37:54 pm",82.18 MB,ZIP file,https://s3.amazonaws.com/tripdata/201905-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201906-citibike-tripdata.csv.zip,201906-citibike-tripdata.csv.zip,"Jul 15th 2019, 06:42:08 pm",91.08 MB,ZIP file,https://s3.amazonaws.com/tripdata/201906-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201907-citibike-tripdata.csv.zip,201907-citibike-tripdata.csv.zip,"Aug 5th 2019, 10:34:01 pm",93.36 MB,ZIP file,https://s3.amazonaws.com/tripdata/201907-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201908-citibike-tripdata.csv.zip,201908-citibike-tripdata.csv.zip,"Sep 18th 2019, 09:33:14 pm",100.02 MB,ZIP file,https://s3.amazonaws.com/tripdata/201908-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201909-citibike-tripdata.csv.zip,201909-citibike-tripdata.csv.zip,"Oct 11th 2019, 08:42:04 pm",104.19 MB,ZIP file,https://s3.amazonaws.com/tripdata/201909-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201910-citibike-tripdata.csv.zip,201910-citibike-tripdata.csv.zip,"Nov 5th 2019, 10:10:55 pm",89.20 MB,ZIP file,https://s3.amazonaws.com/tripdata/201910-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201911-citibike-tripdata.csv.zip,201911-citibike-tripdata.csv.zip,"Dec 20th 2019, 06:44:54 pm",63.20 MB,ZIP file,https://s3.amazonaws.com/tripdata/201911-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/201912-citibike-tripdata.csv.zip,201912-citibike-tripdata.csv.zip,"Jan 21st 2020, 09:23:32 pm",41.08 MB,ZIP file,https://s3.amazonaws.com/tripdata/201912-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202001-citibike-tripdata.csv.zip,202001-citibike-tripdata.csv.zip,"Feb 4th 2020, 07:05:46 pm",53.47 MB,ZIP file,https://s3.amazonaws.com/tripdata/202001-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202002-citibike-tripdata.csv.zip,202002-citibike-tripdata.csv.zip,"Mar 24th 2020, 08:07:44 pm",49.51 MB,ZIP file,https://s3.amazonaws.com/tripdata/202002-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202003-citibike-tripdata.csv.zip,202003-citibike-tripdata.csv.zip,"Apr 18th 2020, 12:58:01 am",46.66 MB,ZIP file,https://s3.amazonaws.com/tripdata/202003-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202004-citibike-tripdata.csv.zip,202004-citibike-tripdata.csv.zip,"May 27th 2020, 01:18:14 am",30.12 MB,ZIP file,https://s3.amazonaws.com/tripdata/202004-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202005-citibike-tripdata.csv.zip,202005-citibike-tripdata.csv.zip,"Jun 5th 2020, 05:09:37 pm",65.38 MB,ZIP file,https://s3.amazonaws.com/tripdata/202005-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202006-citibike-tripdata.csv.zip,202006-citibike-tripdata.csv.zip,"Jul 6th 2020, 01:37:43 am",83.40 MB,ZIP file,https://s3.amazonaws.com/tripdata/202006-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202007-citibike-tripdata.csv.zip,202007-citibike-tripdata.csv.zip,"Aug 12th 2020, 03:13:25 am",94.09 MB,ZIP file,https://s3.amazonaws.com/tripdata/202007-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202008-citibike-tripdata.csv.zip,202008-citibike-tripdata.csv.zip,"Sep 4th 2020, 08:37:28 pm",104.26 MB,ZIP file,https://s3.amazonaws.com/tripdata/202008-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202009-citibike-tripdata.csv.zip,202009-citibike-tripdata.csv.zip,"Oct 13th 2020, 08:55:55 pm",111.93 MB,ZIP file,https://s3.amazonaws.com/tripdata/202009-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202010-citibike-tripdata.csv.zip,202010-citibike-tripdata.csv.zip,"Nov 4th 2020, 02:51:10 pm",101.84 MB,ZIP file,https://s3.amazonaws.com/tripdata/202010-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202011-citibike-tripdata.csv.zip,202011-citibike-tripdata.csv.zip,"Dec 4th 2020, 11:26:03 pm",78.69 MB,ZIP file,https://s3.amazonaws.com/tripdata/202011-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202012-citibike-tripdata.csv.zip,202012-citibike-tripdata.csv.zip,"Jan 5th 2021, 02:25:44 pm",49.55 MB,ZIP file,https://s3.amazonaws.com/tripdata/202012-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202101-citibike-tripdata.csv.zip,202101-citibike-tripdata.csv.zip,"Feb 8th 2021, 03:11:26 pm",50.12 MB,ZIP file,https://s3.amazonaws.com/tripdata/202101-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202102-citibike-tripdata.csv.zip,202102-citibike-tripdata.csv.zip,"Jun 11th 2021, 06:23:12 pm",21.18 MB,ZIP file,https://s3.amazonaws.com/tripdata/202102-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202103-citibike-tripdata.csv.zip,202103-citibike-tripdata.csv.zip,"Jun 11th 2021, 06:23:12 pm",50.54 MB,ZIP file,https://s3.amazonaws.com/tripdata/202103-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202104-citibike-tripdata.csv.zip,202104-citibike-tripdata.csv.zip,"Jun 11th 2021, 06:23:12 pm",64.78 MB,ZIP file,https://s3.amazonaws.com/tripdata/202104-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202105-citibike-tripdata.csv.zip,202105-citibike-tripdata.csv.zip,"Jun 11th 2021, 06:23:12 pm",79.39 MB,ZIP file,https://s3.amazonaws.com/tripdata/202105-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202106-citibike-tripdata.csv.zip,202106-citibike-tripdata.csv.zip,"Apr 7th 2022, 08:18:06 pm",108.53 MB,ZIP file,https://s3.amazonaws.com/tripdata/202106-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202107-citibike-tripdata.csv.zip,202107-citibike-tripdata.csv.zip,"Apr 7th 2022, 08:18:06 pm",98.87 MB,ZIP file,https://s3.amazonaws.com/tripdata/202107-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202108-citibike-tripdata.csv.zip,202108-citibike-tripdata.csv.zip,"Apr 7th 2022, 08:18:06 pm",108.25 MB,ZIP file,https://s3.amazonaws.com/tripdata/202108-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202109-citibike-tripdata.csv.zip,202109-citibike-tripdata.csv.zip,"Apr 7th 2022, 08:18:06 pm",110.52 MB,ZIP file,https://s3.amazonaws.com/tripdata/202109-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202110-citibike-tripdata.csv.zip,202110-citibike-tripdata.csv.zip,"Apr 7th 2022, 08:18:06 pm",96.57 MB,ZIP file,https://s3.amazonaws.com/tripdata/202110-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202111-citibike-tripdata.csv.zip,202111-citibike-tripdata.csv.zip,"Apr 7th 2022, 08:18:06 pm",71.04 MB,ZIP file,https://s3.amazonaws.com/tripdata/202111-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202112-citibike-tripdata.csv.zip,202112-citibike-tripdata.csv.zip,"Apr 7th 2022, 08:18:06 pm",58.64 MB,ZIP file,https://s3.amazonaws.com/tripdata/202112-citibike-tripdata.csv.zip
